===============================================================
Gobuster v3.1.0
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     http://10.10.10.152/
[+] Method:                  GET
[+] Threads:                 10
[+] Wordlist:                /usr/share/wordlists/dirbuster/directory-list-2.3-medium.txt
[+] Negative Status codes:   404
[+] User Agent:              gobuster/3.1.0
[+] Timeout:                 10s
===============================================================
2022/07/29 13:11:40 Starting gobuster in directory enumeration mode
===============================================================
/14                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F14&errormsg=]       
/resources            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fresources&errormsg=]
/icons                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ficons&errormsg=]    
/services             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fservices&errormsg=] 
/templates            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftemplates&errormsg=]
/media                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmedia&errormsg=]    
/press                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpress&errormsg=]    
/15                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F15&errormsg=]       
/main                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmain&errormsg=]     
/profile              (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fprofile&errormsg=]  
/info                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Finfo&errormsg=]     
/18                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F18&errormsg=]       
/2004                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F2004&errormsg=]     
/16                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F16&errormsg=]       
/files                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffiles&errormsg=]    
/features             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ffeatures&errormsg=] 
/html                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fhtml&errormsg=]     
/contactus            (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fcontactus&errormsg=]
/docs                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fdocs&errormsg=]     
/21                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F21&errormsg=]       
/20                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F20&errormsg=]       
/page                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpage&errormsg=]     
/22                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F22&errormsg=]       
/5                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F5&errormsg=]        
/19                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F19&errormsg=]       
/misc                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fmisc&errormsg=]     
/6                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F6&errormsg=]        
/24                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F24&errormsg=]       
/partners             (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fpartners&errormsg=] 
/2007                 (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F2007&errormsg=]     
/terms                (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fterms&errormsg=]    
/17                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F17&errormsg=]       
/i                    (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Fi&errormsg=]        
/23                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F23&errormsg=]       
/top                  (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2Ftop&errormsg=]      
/26                   (Status: 302) [Size: 0] [--> /public/login.htm?loginurl=%2F26&errormsg=]       
